Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
allergy,continuous_sneezing,chills,watering_from_eyes,,,,,,,,,,,,,,
peptic ulcer diseae,loss_of_appetite,passage_of_gases,indigestion,vomiting,,,,,,,,,,,,,
jaundice,abdominal_pain,yellowish_skin,weight_loss,high_fever,,,,,,,,,,,,,
fungal infection,dischromic _patches,nodal_skin_eruptions,itching,abdominal_pain,,,,,,,,,,,,,
common cold,malaise,swelled_lymph_nodes,chest_pain,fatigue,runny_nose,continuous_sneezing,,,,,,,,,,,
hepatitis e,yellowish_skin,joint_pain,stomach_bleeding,vomiting,acute_liver_failure,high_fever,,,,,,,,,,,
gerd,acidity,ulcers_on_tongue,stomach_pain,vomiting,cough,,,,,,,,,,,,
gerd,chest_pain,ulcers_on_tongue,acidity,,,,,,,,,,,,,,
diabetes,increased_appetite,restlessness,lethargy,polyuria,blurred_and_distorted_vision,weight_loss,,,,,,,,,,,
pneumonia,rusty_sputum,breathlessness,high_fever,malaise,phlegm,fast_heart_rate,chills,,,,,,,,,,
malaria,high_fever,muscle_pain,sweating,chills,vomiting,nausea,,,,,,,,,,,
hypertension,loss_of_balance,chest_pain,lack_of_concentration,,,,,,,,,,,,,,
hyperthyroidism,mood_swings,diarrhoea,weight_loss,muscle_weakness,abnormal_menstruation,fatigue,sweating,excessive_hunger,,,,,,,,,
hepatitis c,yellowish_skin,nausea,family_history,fatigue,,,,,,,,,,,,,
alcoholic hepatitis,abdominal_pain,distention_of_abdomen,yellowish_skin,swelling_of_stomach,history_of_alcohol_consumption,,,,,,,,,,,,
hepatitis c,yellowing_of_eyes,yellowish_skin,fatigue,loss_of_appetite,nausea,,,,,,,,,,,,
fungal infection,nodal_skin_eruptions,skin_rash,dischromic _patches,itching,,,,,,,,,,,,,
urinary tract infection,continuous_feel_of_urine,burning_micturition,foul_smell_of urine,,,,,,,,,,,,,,
pneumonia,breathlessness,rusty_sputum,high_fever,chills,fast_heart_rate,fatigue,phlegm,,,,,,,,,,
hepatitis a,nausea,abdominal_pain,vomiting,loss_of_appetite,diarrhoea,muscle_pain,mild_fever,yellowing_of_eyes,,,,,,,,,
hypoglycemia,nausea,anxiety,drying_and_tingling_lips,slurred_speech,excessive_hunger,,,,,,,,,,,,
tuberculosis,swelled_lymph_nodes,sweating,cough,phlegm,high_fever,mild_fever,vomiting,blood_in_sputum,loss_of_appetite,chest_pain,,,,,,,
hepatitis b,lethargy,malaise,receiving_blood_transfusion,dark_urine,yellowish_skin,receiving_unsterile_injections,,,,,,,,,,,
hepatitis d,vomiting,fatigue,joint_pain,nausea,dark_urine,,,,,,,,,,,,
paralysis (brain hemorrhage),headache,vomiting,altered_sensorium,stomach_bleeding,,,,,,,,,,,,,
varicose veins,fatigue,swollen_blood_vessels,prominent_veins_on_calf,,,,,,,,,,,,,,
dimorphic hemmorhoids(piles),constipation,bloody_stool,pain_during_bowel_movements,irritation_in_anus,pain_in_anal_region,,,,,,,,,,,,
dimorphic hemmorhoids(piles),bloody_stool,pain_in_anal_region,irritation_in_anus,constipation,,,,,,,,,,,,,
hyperthyroidism,fatigue,restlessness,excessive_hunger,,,,,,,,,,,,,,
hypertension,headache,chest_pain,dizziness,loss_of_balance,,,,,,,,,,,,,
hyperthyroidism,weight_loss,diarrhoea,muscle_weakness,irritability,abnormal_menstruation,mood_swings,fatigue,,,,,,,,,,
hepatitis a,abdominal_pain,mild_fever,dark_urine,joint_pain,vomiting,muscle_pain,diarrhoea,,,,,,,,,,
hypertension,headache,lack_of_concentration,dizziness,loss_of_balance,,,,,,,,,,,,,
osteoarthristis,painful_walking,swelling_joints,neck_pain,hip_joint_pain,,,,,,,,,,,,,
aids,muscle_wasting,extra_marital_contacts,high_fever,patches_in_throat,yellowish_skin,,,,,,,,,,,,
malaria,nausea,headache,sweating,muscle_pain,,,,,,,,,,,,,
hypothyroidism,abnormal_menstruation,dizziness,fatigue,depression,enlarged_thyroid,,,,,,,,,,,,
migraine,depression,excessive_hunger,irritability,acidity,indigestion,visual_disturbances,blurred_and_distorted_vision,stiff_neck,,,,,,,,,
chicken pox,lethargy,red_spots_over_body,malaise,,,,,,,,,,,,,,
drug reaction,burning_micturition,skin_rash,spotting_ urination,itching,stomach_pain,,,,,,,,,,,,
jaundice,vomiting,high_fever,weight_loss,abdominal_pain,,,,,,,,,,,,,
psoriasis,silver_like_dusting,inflammatory_nails,skin_rash,joint_pain,small_dents_in_nails,,,,,,,,,,,,
arthritis,painful_walking,swelling_joints,movement_stiffness,stiff_neck,,,,,,,,,,,,,
hypertension,chest_pain,loss_of_balance,lack_of_concentration,headache,dizziness,,,,,,,,,,,,
typhoid,chills,high_fever,vomiting,fatigue,toxic_look_(typhos),belly_pain,,,,,,,,,,,
varicose veins, fatigue, cramps, bruising, obesity, swollen_legs, swollen_blood_vessels,,,,,,,,,,,
dimorphic hemmorhoids(piles),irritation_in_anus,pain_during_bowel_movements,constipation,bloody_stool,pain_in_anal_region,fluid_overload,,,,,,,,,,,
arthritis,swelling_joints,painful_walking,movement_stiffness,muscle_weakness,stiff_neck,,,,,,,,,,,,
cervical spondylosis,back_pain,weakness_in_limbs,loss_of_balance,dizziness,,,,,,,,,,,,,
cervical spondylosis, back_pain, weakness_in_limbs, dizziness, loss_of_balance,,,,,,,,,,,,,
alcoholic hepatitis,fluid_overload,history_of_alcohol_consumption,distention_of_abdomen,,,,,,,,,,,,,,
aids,patches_in_throat,high_fever,muscle_wasting,extra_marital_contacts,,,,,,,,,,,,,
bronchial asthma,breathlessness,high_fever,family_history,mucoid_sputum,fatigue,,,,,,,,,,,,
dengue,skin_rash,red_spots_over_body,muscle_pain,vomiting,high_fever,,,,,,,,,,,,
hepatitis a,loss_of_appetite,muscle_pain,mild_fever,diarrhoea,,,,,,,,,,,,,
hepatitis e,nausea,fatigue,stomach_bleeding,yellowing_of_eyes,high_fever,yellowish_skin,abdominal_pain,vomiting,joint_pain,,,,,,,,
hypothyroidism,swollen_extremeties,depression,weight_gain,irritability,abnormal_menstruation,mood_swings,puffy_face_and_eyes,dizziness,,,,,,,,,
chronic cholestasis,itching, vomiting, yellowish_skin, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,
gerd,acidity,vomiting,stomach_pain,,,,,,,,,,,,,,
common cold,muscle_pain,congestion,cough,headache,loss_of_smell,runny_nose,sinus_pressure,,,,,,,,,,
tuberculosis,swelled_lymph_nodes,vomiting,sweating,yellowing_of_eyes,fatigue,chest_pain,malaise,breathlessness,high_fever,phlegm,,,,,,,
cervical spondylosis,dizziness,weakness_in_limbs,back_pain,neck_pain,,,,,,,,,,,,,
gerd,cough,ulcers_on_tongue,stomach_pain,vomiting,acidity,,,,,,,,,,,,
(vertigo) paroymsal positional vertigo,nausea,unsteadiness,loss_of_balance,vomiting,,,,,,,,,,,,,
pneumonia,breathlessness,chills,fast_heart_rate,rusty_sputum,fatigue,malaise,chest_pain,sweating,phlegm,high_fever,,,,,,,
tuberculosis,chills,phlegm,sweating,malaise,chest_pain,,,,,,,,,,,,
hyperthyroidism,muscle_weakness,mood_swings,diarrhoea,fatigue,weight_loss,fast_heart_rate,sweating,abnormal_menstruation,,,,,,,,,
arthritis,muscle_weakness,swelling_joints,stiff_neck,painful_walking,movement_stiffness,,,,,,,,,,,,
dimorphic hemmorhoids(piles),irritation_in_anus,bloody_stool,pain_during_bowel_movements,,,,,,,,,,,,,,
hyperthyroidism,fast_heart_rate,excessive_hunger,irritability,restlessness,diarrhoea,mood_swings,abnormal_menstruation,sweating,fatigue,weight_loss,,,,,,,
common cold,muscle_pain,swelled_lymph_nodes,malaise,sinus_pressure,runny_nose,throat_irritation,loss_of_smell,,,,,,,,,,
hypothyroidism,abnormal_menstruation,depression,enlarged_thyroid,irritability,,,,,,,,,,,,,
heart attack,chest_pain,vomiting,sweating,,,,,,,,,,,,,,
diabetes,weight_loss,excessive_hunger,blurred_and_distorted_vision,restlessness,lethargy,,,,,,,,,,,,
acne,pus_filled_pimples,blackheads,skin_rash,scurring,constipation,,,,,,,,,,,,
hypothyroidism,brittle_nails,swollen_extremeties,cold_hands_and_feets,lethargy,dizziness,fatigue,,,,,,,,,,,
diabetes,polyuria,blurred_and_distorted_vision,restlessness,excessive_hunger,weight_loss,fatigue,increased_appetite,obesity,lethargy,,,,,,,,
alcoholic hepatitis,abdominal_pain,yellowish_skin,history_of_alcohol_consumption,vomiting,,,,,,,,,,,,,
urinary tract infection,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine,,,,,,,,,,,,,,
hepatitis c,yellowing_of_eyes,nausea,fatigue,yellowish_skin,,,,,,,,,,,,,
cervical spondylosis,neck_pain,weakness_in_limbs,back_pain,bloody_stool,,,,,,,,,,,,,
(vertigo) paroymsal positional vertigo,headache,loss_of_balance,spinning_movements,,,,,,,,,,,,,,
impetigo, skin_rash, high_fever, blister, red_sore_around_nose, yellow_crust_ooze,,,,,,,,,,,,
psoriasis,silver_like_dusting,skin_rash,joint_pain,,,,,,,,,,,,,,
bronchial asthma,cough,family_history,breathlessness,,,,,,,,,,,,,,
pneumonia,sweating,chills,high_fever,fatigue,,,,,,,,,,,,,
hepatitis b,itching,lethargy,abdominal_pain,receiving_blood_transfusion,malaise,yellowing_of_eyes,yellowish_skin,,,,,,,,,,
migraine,stiff_neck,irritability,acidity,blurred_and_distorted_vision,excessive_hunger,indigestion,,,,,,,,,,,
impetigo,yellow_crust_ooze,skin_rash,red_sore_around_nose,high_fever,,,,,,,,,,,,,
paralysis (brain hemorrhage),headache,vomiting,altered_sensorium,weakness_of_one_body_side,,,,,,,,,,,,,
urinary tract infection,burning_micturition,continuous_feel_of_urine,bladder_discomfort,foul_smell_of urine,,,,,,,,,,,,,
gerd,stomach_pain,chest_pain,ulcers_on_tongue,cough,acidity,,,,,,,,,,,,
diabetes,lethargy,increased_appetite,obesity,restlessness,irregular_sugar_level,blurred_and_distorted_vision,,,,,,,,,,,
hepatitis c,loss_of_appetite,yellowing_of_eyes,fatigue,nausea,family_history,,,,,,,,,,,,
varicose veins,swollen_legs,swollen_blood_vessels,obesity,prominent_veins_on_calf,bruising,,,,,,,,,,,,
hepatitis b,itching,yellowish_skin,yellow_urine,abdominal_pain,dark_urine,loss_of_appetite,malaise,foul_smell_of urine,,,,,,,,,
gastroenteritis,diarrhoea,dehydration,sunken_eyes,bladder_discomfort,,,,,,,,,,,,,
cervical spondylosis,neck_pain,weakness_in_limbs,back_pain,loss_of_balance,,,,,,,,,,,,,
osteoarthristis,hip_joint_pain,neck_pain,painful_walking,swelling_joints,joint_pain,,,,,,,,,,,,
hyperthyroidism,mood_swings,irritability,fast_heart_rate,abnormal_menstruation,sweating,weight_loss,,,,,,,,,,,
hypothyroidism,enlarged_thyroid,cold_hands_and_feets,fatigue,abnormal_menstruation,dizziness,irritability,weight_gain,lethargy,brittle_nails,depression,,,,,,,
varicose veins,swollen_blood_vessels,obesity,prominent_veins_on_calf,bruising,fatigue,cramps,swollen_legs,,,,,,,,,,
jaundice,dark_urine,yellowish_skin,vomiting,fatigue,abdominal_pain,itching,weight_loss,high_fever,,,,,,,,,
psoriasis,skin_peeling,small_dents_in_nails,joint_pain,,,,,,,,,,,,,,
cervical spondylosis,back_pain,neck_pain,dizziness,loss_of_balance,weakness_in_limbs,,,,,,,,,,,,
(vertigo) paroymsal positional vertigo,loss_of_balance,spinning_movements,nausea,,,,,,,,,,,,,,
paralysis (brain hemorrhage),weakness_of_one_body_side,altered_sensorium,headache,vomiting,,,,,,,,,,,,,
common cold,high_fever,runny_nose,throat_irritation,chills,,,,,,,,,,,,,
chronic cholestasis,loss_of_appetite,itching,nausea,yellowing_of_eyes,,,,,,,,,,,,,
heart attack,chest_pain,vomiting,breathlessness,,,,,,,,,,,,,,
dimorphic hemmorhoids(piles),pain_during_bowel_movements,bloody_stool,irritation_in_anus,coma,,,,,,,,,,,,,
varicose veins, fatigue, cramps, bruising, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf,,,,,,,,,,,
diabetes,obesity,increased_appetite,irregular_sugar_level,polyuria,blurred_and_distorted_vision,weight_loss,fatigue,restlessness,,,,,,,,,
hepatitis d,loss_of_appetite,joint_pain,yellowing_of_eyes,vomiting,nausea,abdominal_pain,,,,,,,,,,,
common cold,sinus_pressure,chest_pain,malaise,fatigue,runny_nose,loss_of_smell,redness_of_eyes,continuous_sneezing,chills,throat_irritation,passage_of_gases,,,,,,
hepatitis e,loss_of_appetite,fatigue,joint_pain,nausea,yellowing_of_eyes,abdominal_pain,stomach_bleeding,dark_urine,coma,yellowish_skin,,,,,,,
hepatitis c,nausea,family_history,yellowish_skin,loss_of_appetite,,,,,,,,,,,,,
(vertigo) paroymsal positional vertigo,headache,loss_of_balance,unsteadiness,nausea,spinning_movements,,,,,,,,,,,,
urinary tract infection,foul_smell_of urine,burning_micturition,continuous_feel_of_urine,,,,,,,,,,,,,,
pneumonia,chills,sweating,chest_pain,high_fever,fast_heart_rate,,,,,,,,,,,,
impetigo,yellow_crust_ooze,red_sore_around_nose,high_fever,blister,skin_rash,,,,,,,,,,,,
hepatitis e,joint_pain,yellowing_of_eyes,stomach_bleeding,,,,,,,,,,,,,,
malaria,muscle_pain,headache,chills,sweating,diarrhoea,high_fever,vomiting,,,,,,,,,,
diabetes,increased_appetite,obesity,excessive_hunger,weight_loss,fatigue,polyuria,,,,,,,,,,,
malaria,headache,high_fever,chills,diarrhoea,nausea,,,,,,,,,,,,
migraine,depression,indigestion,visual_disturbances,irritability,,,,,,,,,,,,,
malaria,muscle_pain,diarrhoea,vomiting,sweating,,,,,,,,,,,,,
impetigo,high_fever,yellow_crust_ooze,red_sore_around_nose,skin_rash,,,,,,,,,,,,,
hyperthyroidism,weight_loss,irritability,mood_swings,fast_heart_rate,restlessness,muscle_weakness,diarrhoea,fatigue,,,,,,,,,
diabetes,fatigue,increased_appetite,polyuria,irregular_sugar_level,obesity,blurred_and_distorted_vision,weight_loss,lethargy,,,,,,,,,
hypoglycemia,excessive_hunger,slurred_speech,palpitations,fatigue,sweating,blurred_and_distorted_vision,headache,vomiting,anxiety,drying_and_tingling_lips,,,,,,,
diabetes,lethargy,irregular_sugar_level,weight_loss,obesity,,,,,,,,,,,,,
pneumonia,fatigue,sweating,breathlessness,rusty_sputum,phlegm,fast_heart_rate,malaise,,,,,,,,,,
chronic cholestasis,nausea,yellowing_of_eyes,abdominal_pain,vomiting,,,,,,,,,,,,,
osteoarthristis,hip_joint_pain,painful_walking,swelling_joints,,,,,,,,,,,,,,
hyperthyroidism,muscle_weakness,abnormal_menstruation,irritability,excessive_hunger,mood_swings,,,,,,,,,,,,
jaundice,itching,dark_urine,fatigue,high_fever,weight_loss,abdominal_pain,,,,,,,,,,,
hypoglycemia,vomiting,blurred_and_distorted_vision,sweating,drying_and_tingling_lips,fatigue,,,,,,,,,,,,
arthritis,stiff_neck,muscle_weakness,painful_walking,movement_stiffness,,,,,,,,,,,,,
heart attack,sweating,breathlessness,vomiting,chest_pain,,,,,,,,,,,,,
pneumonia,chest_pain,fatigue,malaise,sweating,chills,rusty_sputum,breathlessness,high_fever,,,,,,,,,
hepatitis e,coma,joint_pain,loss_of_appetite,acute_liver_failure,fatigue,,,,,,,,,,,,
hepatitis d,loss_of_appetite,fatigue,joint_pain,yellowish_skin,abdominal_pain,vomiting,,,,,,,,,,,
hyperthyroidism,abnormal_menstruation,fatigue,excessive_hunger,restlessness,fast_heart_rate,sweating,mood_swings,diarrhoea,irritability,,,,,,,,
hepatitis d,nausea,fatigue,yellowish_skin,dark_urine,loss_of_appetite,yellowing_of_eyes,abdominal_pain,joint_pain,,,,,,,,,
hepatitis c,loss_of_appetite,family_history,fatigue,nausea,,,,,,,,,,,,,
hepatitis d,joint_pain,yellowing_of_eyes,loss_of_appetite,nausea,abdominal_pain,,,,,,,,,,,,
bronchial asthma,family_history,high_fever,fatigue,breathlessness,cough,mucoid_sputum,congestion,,,,,,,,,,
hepatitis c,nausea,fatigue,loss_of_appetite,family_history,yellowing_of_eyes,yellowish_skin,,,,,,,,,,,
gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea,,,,,,,,,,,,,
alcoholic hepatitis,distention_of_abdomen,abdominal_pain,swelling_of_stomach,yellowish_skin,,,,,,,,,,,,,
diabetes,obesity,polyuria,restlessness,excessive_hunger,,,,,,,,,,,,,
varicose veins,fatigue,obesity,cramps,swollen_legs,swollen_blood_vessels,,,,,,,,,,,,
pneumonia,fast_heart_rate,fatigue,rusty_sputum,,,,,,,,,,,,,,
paralysis (brain hemorrhage),vomiting,altered_sensorium,headache,weakness_of_one_body_side,,,,,,,,,,,,,
dengue,skin_rash,chills,fatigue,high_fever,muscle_pain,pain_behind_the_eyes,loss_of_appetite,joint_pain,,,,,,,,,
impetigo,red_sore_around_nose,blister,skin_rash,yellow_crust_ooze,high_fever,,,,,,,,,,,,
hepatitis d,abdominal_pain,yellowish_skin,fatigue,dark_urine,loss_of_appetite,nausea,,,,,,,,,,,
allergy,watering_from_eyes,continuous_sneezing,chills,pain_during_bowel_movements,,,,,,,,,,,,,
hypertension,dizziness,lack_of_concentration,headache,,,,,,,,,,,,,,
diabetes,blurred_and_distorted_vision,weight_loss,fatigue,obesity,lethargy,irregular_sugar_level,restlessness,,,,,,,,,,
jaundice,vomiting,weight_loss,itching,abdominal_pain,high_fever,fatigue,yellowish_skin,,,,,,,,,,
tuberculosis,loss_of_appetite,blood_in_sputum,phlegm,cough,weight_loss,sweating,fatigue,chest_pain,,,,,,,,,
hepatitis d,vomiting,yellowish_skin,fatigue,loss_of_appetite,joint_pain,yellowing_of_eyes,nausea,abdominal_pain,dark_urine,,,,,,,,
hypothyroidism,fatigue,irritability,brittle_nails,lethargy,depression,dizziness,weight_gain,,,,,,,,,,
hepatitis a,yellowing_of_eyes,loss_of_appetite,joint_pain,dark_urine,yellowish_skin,diarrhoea,,,,,,,,,,,
varicose veins,fatigue,obesity,swollen_legs,cramps,bruising,prominent_veins_on_calf,,,,,,,,,,,
common cold,swelled_lymph_nodes,headache,continuous_sneezing,chest_pain,chills,redness_of_eyes,phlegm,throat_irritation,,,,,,,,,
impetigo,yellow_crust_ooze,red_sore_around_nose,high_fever,skin_rash,,,,,,,,,,,,,
malaria,high_fever,diarrhoea,muscle_pain,vomiting,,,,,,,,,,,,,
psoriasis,small_dents_in_nails,joint_pain,skin_rash,silver_like_dusting,irregular_sugar_level,,,,,,,,,,,,
hepatitis e,coma,loss_of_appetite,nausea,yellowish_skin,high_fever,,,,,,,,,,,,
osteoarthristis,joint_pain,hip_joint_pain,knee_pain,swelling_joints,neck_pain,,,,,,,,,,,,
jaundice,yellowish_skin,high_fever,weight_loss,itching,vomiting,abdominal_pain,dark_urine,,,,,,,,,,
hepatitis b,dark_urine,lethargy,malaise,yellowing_of_eyes,yellowish_skin,neck_pain,,,,,,,,,,,
diabetes,blurred_and_distorted_vision,fatigue,weight_loss,obesity,restlessness,excessive_hunger,irregular_sugar_level,increased_appetite,polyuria,,,,,,,,
common cold,continuous_sneezing,malaise,throat_irritation,chest_pain,,,,,,,,,,,,,
diabetes,irregular_sugar_level,obesity,fatigue,weight_loss,excessive_hunger,,,,,,,,,,,,
fungal infection,skin_rash,itching,dischromic _patches,nodal_skin_eruptions,,,,,,,,,,,,,
bronchial asthma,family_history,fatigue,breathlessness,high_fever,cough,,,,,,,,,,,,
dimorphic hemmorhoids(piles),pain_in_anal_region,constipation,irritation_in_anus,,,,,,,,,,,,,,
diabetes,increased_appetite,restlessness,irregular_sugar_level,blurred_and_distorted_vision,,,,,,,,,,,,,
alcoholic hepatitis,history_of_alcohol_consumption,vomiting,abdominal_pain,,,,,,,,,,,,,,
hepatitis d,loss_of_appetite,fatigue,vomiting,joint_pain,dark_urine,yellowing_of_eyes,abdominal_pain,yellowish_skin,,,,,,,,,
chronic cholestasis,abdominal_pain,yellowing_of_eyes,vomiting,yellowish_skin,nausea,loss_of_appetite,,,,,,,,,,,
hypothyroidism,irritability,lethargy,mood_swings,depression,puffy_face_and_eyes,swollen_extremeties,enlarged_thyroid,,,,,,,,,,
malaria,sweating,muscle_pain,high_fever,nausea,chills,headache,diarrhoea,,,,,,,,,,
diabetes,restlessness,blurred_and_distorted_vision,obesity,excessive_hunger,irregular_sugar_level,polyuria,lethargy,fatigue,,,,,,,,,
paralysis (brain hemorrhage),weakness_of_one_body_side,headache,altered_sensorium,vomiting,,,,,,,,,,,,,
hypertension,dizziness,headache,lack_of_concentration,,,,,,,,,,,,,,
urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine,,,,,,,,,,,,,,
(vertigo) paroymsal positional vertigo,nausea,vomiting,unsteadiness,spinning_movements,loss_of_balance,,,,,,,,,,,,
heart attack,vomiting,sweating,chest_pain,,,,,,,,,,,,,,
cervical spondylosis,back_pain,neck_pain,loss_of_balance,dizziness,,,,,,,,,,,,,
hepatitis b,itching,loss_of_appetite,yellowing_of_eyes,malaise,receiving_unsterile_injections,,,,,,,,,,,,
alcoholic hepatitis,yellowish_skin,vomiting,distention_of_abdomen,,,,,,,,,,,,,,
gerd,stomach_pain,cough,ulcers_on_tongue,acidity,,,,,,,,,,,,,
varicose veins,swollen_blood_vessels,prominent_veins_on_calf,bruising,fatigue,cramps,,,,,,,,,,,,
hepatitis a,dark_urine,vomiting,diarrhoea,nausea,,,,,,,,,,,,,
hepatitis b,malaise,receiving_blood_transfusion,loss_of_appetite,yellowing_of_eyes,yellowish_skin,itching,yellow_urine,receiving_unsterile_injections,abdominal_pain,,,,,,,,
dimorphic hemmorhoids(piles),pain_in_anal_region,constipation,irritation_in_anus,bloody_stool,,,,,,,,,,,,,
peptic ulcer diseae,abdominal_pain,internal_itching,passage_of_gases,indigestion,loss_of_appetite,,,,,,,,,,,,
jaundice,weight_loss,abdominal_pain,yellowish_skin,itching,,,,,,,,,,,,,
hypothyroidism,abnormal_menstruation,depression,brittle_nails,enlarged_thyroid,lethargy,,,,,,,,,,,,
hypertension,lack_of_concentration,headache,loss_of_balance,,,,,,,,,,,,,,
peptic ulcer diseae,abdominal_pain,passage_of_gases,indigestion,loss_of_appetite,internal_itching,vomiting,,,,,,,,,,,
acne,skin_rash,blackheads,pus_filled_pimples,scurring,,,,,,,,,,,,,
malaria,chills,sweating,nausea,headache,,,,,,,,,,,,,
(vertigo) paroymsal positional vertigo,headache,spinning_movements,nausea,unsteadiness,loss_of_balance,,,,,,,,,,,,
diabetes,restlessness,weight_loss,increased_appetite,polyuria,blurred_and_distorted_vision,irregular_sugar_level,,,,,,,,,,,
diabetes,excessive_hunger,restlessness,lethargy,increased_appetite,,,,,,,,,,,,,
chicken pox,itching,loss_of_appetite,lethargy,red_spots_over_body,,,,,,,,,,,,,
malaria,nausea,vomiting,headache,sweating,,,,,,,,,,,,,
hypoglycemia,drying_and_tingling_lips,headache,slurred_speech,blurred_and_distorted_vision,,,,,,,,,,,,,
urinary tract infection,burning_micturition,continuous_feel_of_urine,foul_smell_of urine,patches_in_throat,,,,,,,,,,,,,
hepatitis a,yellowish_skin,dark_urine,nausea,muscle_pain,abdominal_pain,,,,,,,,,,,,
peptic ulcer diseae,indigestion,internal_itching,loss_of_appetite,,,,,,,,,,,,,,
chicken pox,skin_rash,malaise,itching,red_spots_over_body,mild_fever,,,,,,,,,,,,
dengue,loss_of_appetite,high_fever,malaise,headache,joint_pain,red_spots_over_body,skin_rash,,,,,,,,,,
hepatitis a,loss_of_appetite,joint_pain,diarrhoea,nausea,yellowing_of_eyes,yellowish_skin,restlessness,,,,,,,,,,
hyperthyroidism,mood_swings,weight_loss,sweating,,,,,,,,,,,,,,
peptic ulcer diseae,passage_of_gases,internal_itching,loss_of_appetite,abdominal_pain,vomiting,,,,,,,,,,,,
(vertigo) paroymsal positional vertigo,unsteadiness,vomiting,spinning_movements,headache,nausea,loss_of_balance,,,,,,,,,,,
hepatitis e, joint_pain, vomiting, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding,,,,,
allergy,chills,watering_from_eyes,continuous_sneezing,blurred_and_distorted_vision,,,,,,,,,,,,,
hepatitis e,yellowing_of_eyes,joint_pain,stomach_bleeding,yellowish_skin,skin_peeling,,,,,,,,,,,,
chronic cholestasis,vomiting,yellowing_of_eyes,loss_of_appetite,abdominal_pain,,,,,,,,,,,,,
common cold,malaise,high_fever,throat_irritation,,,,,,,,,,,,,,
cervical spondylosis,dizziness,loss_of_balance,weakness_in_limbs,,,,,,,,,,,,,,
gerd,ulcers_on_tongue,chest_pain,acidity,,,,,,,,,,,,,,
cervical spondylosis,weakness_in_limbs,loss_of_balance,back_pain,neck_pain,shivering,,,,,,,,,,,,
chronic cholestasis,abdominal_pain,itching,yellowing_of_eyes,palpitations,,,,,,,,,,,,,
hypoglycemia,fatigue,slurred_speech,blurred_and_distorted_vision,irritability,sweating,excessive_hunger,drying_and_tingling_lips,anxiety,vomiting,palpitations,,,,,,,
chicken pox,itching,mild_fever,headache,fatigue,loss_of_appetite,red_spots_over_body,skin_rash,lethargy,high_fever,swelled_lymph_nodes,,,,,,,
migraine,excessive_hunger,blurred_and_distorted_vision,depression,stiff_neck,headache,acidity,visual_disturbances,indigestion,irritability,,,,,,,,
common cold,continuous_sneezing,muscle_pain,sinus_pressure,runny_nose,fatigue,chest_pain,chills,headache,loss_of_smell,malaise,,,,,,,
allergy,chills,continuous_sneezing,shivering,,,,,,,,,,,,,,
malaria,nausea,vomiting,diarrhoea,high_fever,muscle_pain,chills,,,,,,,,,,,
pneumonia,rusty_sputum,chills,sweating,chest_pain,cough,fatigue,fast_heart_rate,high_fever,phlegm,breathlessness,,,,,,,
varicose veins,swollen_blood_vessels,fatigue,prominent_veins_on_calf,cramps,obesity,swollen_legs,,,,,,,,,,,
hyperthyroidism,abnormal_menstruation,fast_heart_rate,sweating,muscle_weakness,back_pain,,,,,,,,,,,,
hepatitis b,dark_urine,yellow_urine,malaise,fatigue,abdominal_pain,yellowish_skin,lethargy,receiving_unsterile_injections,,,,,,,,,
cervical spondylosis,neck_pain,loss_of_balance,dizziness,back_pain,,,,,,,,,,,,,
hypertension,dizziness,headache,loss_of_balance,,,,,,,,,,,,,,
hepatitis d,vomiting,joint_pain,nausea,fatigue,yellowing_of_eyes,abdominal_pain,yellowish_skin,,,,,,,,,,
tuberculosis,sweating,cough,blood_in_sputum,yellowing_of_eyes,high_fever,phlegm,swelled_lymph_nodes,weight_loss,mild_fever,,,,,,,,
pneumonia,fast_heart_rate,rusty_sputum,chest_pain,phlegm,cough,fatigue,chills,malaise,,,,,,,,,
hepatitis a,diarrhoea,nausea,abdominal_pain,loss_of_appetite,yellowing_of_eyes,,,,,,,,,,,,
drug reaction,spotting_ urination,itching,burning_micturition,stomach_pain,,,,,,,,,,,,,
bronchial asthma, fatigue, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,
pneumonia,fatigue,sweating,phlegm,chest_pain,malaise,high_fever,chills,cough,breathlessness,,,,,,,,
dimorphic hemmorhoids(piles),pain_in_anal_region,pain_during_bowel_movements,constipation,bloody_stool,,,,,,,,,,,,,
hepatitis b,receiving_blood_transfusion,fatigue,itching,yellow_urine,yellowing_of_eyes,loss_of_appetite,,,,,,,,,,,
hepatitis d,dark_urine,loss_of_appetite,vomiting,nausea,abdominal_pain,,,,,,,,,,,,
chronic cholestasis,loss_of_appetite,vomiting,itching,passage_of_gases,,,,,,,,,,,,,
